timestamp,datetime,pod,service,cpu_value,memory_value,run_id,pod_age_points,delta_time,delta_cpu_value,cpu_rate,memory_diff,memory_change_rate,rate_change,abs_rate_change,rolling_mean,rolling_std,rolling_median,rolling_min,rolling_max,rolling_q25,rolling_q75,rolling_range,rolling_iqr,ema_rate,ema_deviation,rate_zscore,relative_to_mean,memory_rolling_mean,memory_rolling_std,memory_rolling_median,memory_rolling_min,memory_rolling_max,memory_rolling_q25,memory_rolling_q75,memory_rolling_range,memory_rolling_iqr,memory_zscore,memory_relative_to_mean,is_new_pod_window,raw_prediction,is_anomaly,anomaly_score,is_fault_window,fault_type_label,is_anomaly_raw,is_anomaly_filtered
1781661662,2026-06-17 10:01:02,carts-b6c5c87f9-4tk76,carts,8.667702,214667264,run_007,1,15.0,3.9109680000000004,0.26073120000000005,51044352.0,3402956.8,,0.0,0.26073120000000005,0.0,0.26073120000000005,0.26073120000000005,0.26073120000000005,0.26073120000000005,0.26073120000000005,0.0,0.0,0.26073120000000005,0.0,0.0,1.0,214667264.0,0.0,214667264.0,214667264.0,214667264.0,214667264.0,214667264.0,0.0,0.0,0.0,1.0,1,-1,1,-0.037535796338210026,1,kill,1,1
1781661677,2026-06-17 10:01:17,carts-b6c5c87f9-4tk76,carts,13.007512,266280960,run_007,2,15.0,4.33981,0.28932066666666667,51613696.0,3440913.066666667,0.02858946666666662,0.02858946666666662,0.27502593333333336,0.020215805750506726,0.27502593333333336,0.26073120000000005,0.28932066666666667,0.2678785666666667,0.2821733,0.02858946666666662,0.01429473333333331,0.27026102222222226,0.019059644444444412,0.7071067811865476,1.0519759469955439,240474112.0,36496394.443700984,240474112.0,214667264.0,266280960.0,227570688.0,253377536.0,51613696.0,25806848.0,0.7071067811865475,1.1073165330994132,1,-1,1,-0.11819858938140171,1,kill,1,1
1781661692,2026-06-17 10:01:32,carts-b6c5c87f9-4tk76,carts,16.300654,287170560,run_007,3,15.0,3.2931420000000013,0.2195428000000001,20889600.0,1392640.0,-0.06977786666666658,0.06977786666666658,0.2565315555555556,0.035077990666977914,0.26073120000000005,0.2195428000000001,0.28932066666666667,0.24013700000000007,0.27502593333333336,0.06977786666666658,0.03488893333333329,0.2533549481481482,-0.03381214814814809,-1.0544719025305058,0.8558120638396663,256039594.66666666,37320854.16538595,266280960.0,214667264.0,287170560.0,240474112.0,276725760.0,72503296.0,36251648.0,0.8341439666781916,1.1215865279503436,1,-1,1,-0.10266718340523395,0,normal,1,1
1781661707,2026-06-17 10:01:47,carts-b6c5c87f9-4tk76,carts,20.242056,305778688,run_007,4,15.0,3.941402,0.2627601333333333,18608128.0,1240541.8666666667,0.04321733333333322,0.04321733333333322,0.25808870000000006,0.028809878192011095,0.26174566666666665,0.2195428000000001,0.28932066666666667,0.25043410000000005,0.26940026666666667,0.06977786666666658,0.018966166666666617,0.25649000987654325,0.0062701234567900666,0.1621469310699352,1.0181001079602991,268474368.0,39332663.97234638,276725760.0,214667264.0,305778688.0,253377536.0,291822592.0,91111424.0,38445056.0,0.9484310553240826,1.138949279508128,1,-1,1,-0.1164695268358612,0,normal,1,1
1781661722,2026-06-17 10:02:02,carts-b6c5c87f9-4tk76,carts,23.816218,331018240,run_007,5,15.0,3.5741619999999976,0.23827746666666652,25239552.0,1682636.8,-0.02448266666666679,0.02448266666666679,0.25412645333333334,0.026476476433174495,0.26073120000000005,0.2195428000000001,0.28932066666666667,0.23827746666666652,0.2627601333333333,0.06977786666666658,0.02448266666666679,0.25041916213991766,-0.01214169547325114,-0.5986063404875261,0.9376334637391017,280983142.4,44075401.60136506,287170560.0,214667264.0,331018240.0,266280960.0,305778688.0,116350976.0,39497728.0,1.1352159204931755,1.1780715283224052,0,-1,1,-0.08998863271519453,0,normal,1,1
1781661737,2026-06-17 10:02:17,carts-b6c5c87f9-4tk76,carts,29.309573,336105472,run_007,6,15.0,5.493355000000001,0.3662236666666667,5087232.0,339148.8,0.1279462000000002,0.1279462000000002,0.27522494666666664,0.05722858916474841,0.2627601333333333,0.2195428000000001,0.3662236666666667,0.23827746666666652,0.28932066666666667,0.14668086666666663,0.05104320000000015,0.28902066364883405,0.07720300301783267,1.5900919685095671,1.33063398177423,305270784.0,29418497.265341636,305778688.0,266280960.0,336105472.0,287170560.0,331018240.0,69824512.0,43847680.0,1.0481394655167109,1.101007661447222,0,-1,1,-0.10599564332107392,0,normal,1,1
1781661752,2026-06-17 10:02:32,carts-b6c5c87f9-4tk76,carts,32.699329,352575488,run_007,7,15.0,3.3897559999999984,0.22598373333333324,16470016.0,1098001.0666666667,-0.14023993333333348,0.14023993333333348,0.26255755999999997,0.06025807002915971,0.23827746666666652,0.2195428000000001,0.3662236666666667,0.22598373333333324,0.2627601333333333,0.14668086666666663,0.03677640000000007,0.26800835354366714,-0.0420246202103339,-0.6069531707366025,0.8607016813125978,322529689.6,25932467.380832348,331018240.0,287170560.0,352575488.0,305778688.0,336105472.0,65404928.0,30326784.0,1.158617032415818,1.0931566902794674,0,-1,1,-0.09276735022368665,0,normal,1,1
1781661767,2026-06-17 10:02:47,carts-b6c5c87f9-4tk76,carts,38.468622,357347328,run_007,8,15.0,5.769293000000005,0.38461953333333365,4771840.0,318122.6666666667,0.1586358000000004,0.1586358000000004,0.2955729066666667,0.07436889503200486,0.2627601333333333,0.22598373333333324,0.38461953333333365,0.23827746666666652,0.3662236666666667,0.1586358000000004,0.1279462000000002,0.3068787468068893,0.07774078652644434,1.19736385256693,1.3012678924834258,336565043.2,20414551.19596147,336105472.0,305778688.0,357347328.0,331018240.0,352575488.0,51568640.0,21557248.0,1.0180133082774452,1.0617481976214933,0,-1,1,-0.11417050788763561,0,normal,1,1
1781661782,2026-06-17 10:03:02,carts-b6c5c87f9-4tk76,carts,43.415223,385847296,run_007,9,15.0,4.946600999999994,0.3297733999999996,28499968.0,1899997.8666666667,-0.054846133333334046,0.054846133333334046,0.3089755599999999,0.07300303120706104,0.3297733999999996,0.22598373333333324,0.38461953333333365,0.23827746666666652,0.3662236666666667,0.1586358000000004,0.1279462000000002,0.3145102978712594,0.015263102128740214,0.284890088207571,1.0673122495513874,352578764.8,21597221.923554983,352575488.0,331018240.0,385847296.0,336105472.0,357347328.0,54829056.0,21241856.0,1.5404078968006392,1.0943577280352421,0,-1,1,-0.12457384128875437,0,normal,1,1
1781661797,2026-06-17 10:03:17,carts-b6c5c87f9-4tk76,carts,47.031881,399712256,run_007,10,15.0,3.616658000000001,0.2411105333333334,13864960.0,924330.6666666666,-0.0886628666666662,0.0886628666666662,0.30954217333333334,0.07232497226378244,0.3297733999999996,0.22598373333333324,0.38461953333333365,0.2411105333333334,0.3662236666666667,0.1586358000000004,0.12511313333333332,0.29004370969195076,-0.04893317635861735,-0.9461689076135029,0.778926279210721,366317568.0,25878061.053083878,357347328.0,336105472.0,399712256.0,352575488.0,385847296.0,63606784.0,33271808.0,1.2904632975205215,1.0911632171569778,0,-1,1,-0.10769972599664157,0,normal,1,1
