selection_mode,n_estimators,contamination,postprocess_name,postprocess_min_streak,postprocess_smooth_window,postprocess_vote_threshold,avg_precision,avg_recall,avg_f1,avg_anomaly_ratio,event_hit_rate,selection_score
coverage_best,500,0.12,streak_2_smooth_3_vote_2,2,3,2,0.0557,0.5849,0.1011,0.6275,1.0,0.2303
balanced_best,100,0.02,streak_3,3,1,1,0.1628,0.1433,0.1184,0.1424,0.4444,0.1624
