points,fault_window_points,anomaly_points,tp,fp,fn,precision,recall,f1,anomaly_ratio,run_id
231,21,45,7,38,14,0.1556,0.3333,0.2121,0.1948,run_007
259,19,90,10,80,9,0.1111,0.5263,0.1835,0.3475,run_008
246,15,73,6,67,9,0.0822,0.4,0.1364,0.2967,run_009
285,16,76,3,73,13,0.0395,0.1875,0.0652,0.2667,run_010
