points,fault_window_points,anomaly_points,tp,fp,fn,precision,recall,f1,anomaly_ratio,fault_type
36,36,10,10,0,26,1.0,0.2778,0.4348,0.2778,kill
35,35,9,9,0,26,1.0,0.2571,0.4091,0.2571,pause
