"run_id","event_id","run_type","service","target","fault_type","intensity","start_time","end_time","baseline_start","baseline_end","observe_end","expected_fault_window_start","expected_fault_window_end","status","notes"
"run_001","event_15","single_fault_serial","user","user-9c64594b7-p9phw","kill","-","2026-06-16 15:31:34","2026-06-16 15:32:35","2026-06-16 14:46:01","2026-06-16 14:54:01","2026-06-16 15:30:23","2026-06-16 15:28:23","2026-06-16 15:29:23","executed","标准轮 1：5 服务 kill + 5 服务 pause + 5 服务 kill，带轻微随机顺序和事件间隔抖动"
"run_002","event_12","single_fault_serial","orders","orders-6cfcf6794c-wdswx","kill","-","2026-06-16 21:10:14","2026-06-16 21:11:46","2026-06-16 21:02:14","2026-06-16 21:10:14","2026-06-16 21:12:14","2026-06-16 21:10:14","2026-06-16 21:11:14","executed","标准轮 2：run_001 的重复轮，用于稳定性分析"
"run_002","event_02","single_fault_serial","orders","orders-6cfcf6794c-q9l4x","kill","-","2026-06-16 21:13:08","2026-06-16 21:14:39","2026-06-16 21:02:14","2026-06-16 21:10:14","2026-06-16 21:14:36","2026-06-16 21:12:36","2026-06-16 21:13:36","executed","标准轮 2：run_001 的重复轮，用于稳定性分析"
"run_002","event_08","single_fault_serial","front-end","front-end-87ff7b849-tlpz4","pause","60s","2026-06-16 21:16:04","2026-06-16 21:17:05","2026-06-16 21:02:14","2026-06-16 21:10:14","2026-06-16 21:17:01","2026-06-16 21:15:01","2026-06-16 21:16:01","executed","标准轮 2：run_001 的重复轮，用于稳定性分析"
"run_002","event_06","single_fault_serial","carts","carts-b6c5c87f9-zw2tt","pause","60s","2026-06-16 21:18:46","2026-06-16 21:19:46","2026-06-16 21:02:14","2026-06-16 21:10:14","2026-06-16 21:19:42","2026-06-16 21:17:42","2026-06-16 21:18:42","executed","标准轮 2：run_001 的重复轮，用于稳定性分析"
"run_002","event_09","single_fault_serial","catalogue","catalogue-744d46f784-ng2ll","pause","60s","2026-06-16 21:21:36","2026-06-16 21:22:37","2026-06-16 21:02:14","2026-06-16 21:10:14","2026-06-16 21:22:32","2026-06-16 21:20:32","2026-06-16 21:21:32","executed","标准轮 2：run_001 的重复轮，用于稳定性分析"
"run_002","event_10","single_fault_serial","user","user-9c64594b7-9nm7m","pause","60s","2026-06-16 21:24:26","2026-06-16 21:25:26","2026-06-16 21:02:14","2026-06-16 21:10:14","2026-06-16 21:25:21","2026-06-16 21:23:21","2026-06-16 21:24:21","executed","标准轮 2：run_001 的重复轮，用于稳定性分析"
"run_002","event_03","single_fault_serial","front-end","front-end-87ff7b849-tlpz4","kill","-","2026-06-16 21:27:09","2026-06-16 21:28:41","2026-06-16 21:02:14","2026-06-16 21:10:14","2026-06-16 21:28:04","2026-06-16 21:26:04","2026-06-16 21:27:04","executed","标准轮 2：run_001 的重复轮，用于稳定性分析"
"run_002","event_13","single_fault_serial","front-end","front-end-87ff7b849-ddkc6","kill","-","2026-06-16 21:30:03","2026-06-16 21:31:34","2026-06-16 21:02:14","2026-06-16 21:10:14","2026-06-16 21:30:26","2026-06-16 21:28:26","2026-06-16 21:29:26","executed","标准轮 2：run_001 的重复轮，用于稳定性分析"
"run_002","event_04","single_fault_serial","catalogue","catalogue-744d46f784-ng2ll","kill","-","2026-06-16 21:33:09","2026-06-16 21:34:09","2026-06-16 21:02:14","2026-06-16 21:10:14","2026-06-16 21:33:01","2026-06-16 21:31:01","2026-06-16 21:32:01","executed","标准轮 2：run_001 的重复轮，用于稳定性分析"
"run_002","event_05","single_fault_serial","user","user-9c64594b7-9nm7m","kill","-","2026-06-16 21:35:39","2026-06-16 21:36:40","2026-06-16 21:02:14","2026-06-16 21:10:14","2026-06-16 21:35:31","2026-06-16 21:33:31","2026-06-16 21:34:31","executed","标准轮 2：run_001 的重复轮，用于稳定性分析"
"run_002","event_07","single_fault_serial","orders","orders-6cfcf6794c-kz8lc","pause","60s","2026-06-16 21:38:20","2026-06-16 21:39:20","2026-06-16 21:02:14","2026-06-16 21:10:14","2026-06-16 21:38:11","2026-06-16 21:36:11","2026-06-16 21:37:11","executed","标准轮 2：run_001 的重复轮，用于稳定性分析"
"run_002","event_15","single_fault_serial","user","user-9c64594b7-wv4tx","kill","-","2026-06-16 21:40:39","2026-06-16 21:41:39","2026-06-16 21:02:14","2026-06-16 21:10:14","2026-06-16 21:40:29","2026-06-16 21:38:29","2026-06-16 21:39:29","executed","标准轮 2：run_001 的重复轮，用于稳定性分析"
"run_002","event_14","single_fault_serial","catalogue","catalogue-744d46f784-jm749","kill","-","2026-06-16 21:43:16","2026-06-16 21:44:17","2026-06-16 21:02:14","2026-06-16 21:10:14","2026-06-16 21:43:06","2026-06-16 21:41:06","2026-06-16 21:42:06","executed","标准轮 2：run_001 的重复轮，用于稳定性分析"
"run_002","event_01","single_fault_serial","carts","carts-b6c5c87f9-zw2tt","kill","-","2026-06-16 21:45:56","2026-06-16 21:47:27","2026-06-16 21:02:14","2026-06-16 21:10:14","2026-06-16 21:45:45","2026-06-16 21:43:45","2026-06-16 21:44:45","executed","标准轮 2：run_001 的重复轮，用于稳定性分析"
"run_002","event_11","single_fault_serial","carts","carts-b6c5c87f9-2ncjh","kill","-","2026-06-16 21:48:39","2026-06-16 21:50:10","2026-06-16 21:02:14","2026-06-16 21:10:14","2026-06-16 21:47:57","2026-06-16 21:45:57","2026-06-16 21:46:57","executed","标准轮 2：run_001 的重复轮，用于稳定性分析"
"run_003","event_05","single_fault_serial","user","user-9c64594b7-vslxt","kill","-","2026-06-16 22:04:17","2026-06-16 22:05:18","2026-06-16 21:56:17","2026-06-16 22:04:17","2026-06-16 22:06:17","2026-06-16 22:04:17","2026-06-16 22:05:17","executed","标准轮 3：15 次 kill，模拟更密集的实例级故障"
"run_003","event_06","single_fault_serial","carts","carts-b6c5c87f9-2kdsz","kill","-","2026-06-16 22:07:11","2026-06-16 22:08:43","2026-06-16 21:56:17","2026-06-16 22:04:17","2026-06-16 22:09:10","2026-06-16 22:07:10","2026-06-16 22:08:10","executed","标准轮 3：15 次 kill，模拟更密集的实例级故障"
"run_003","event_08","single_fault_serial","front-end","front-end-87ff7b849-lw9zn","kill","-","2026-06-16 22:10:41","2026-06-16 22:12:12","2026-06-16 21:56:17","2026-06-16 22:04:17","2026-06-16 22:12:08","2026-06-16 22:10:08","2026-06-16 22:11:08","executed","标准轮 3：15 次 kill，模拟更密集的实例级故障"
"run_003","event_13","single_fault_serial","front-end","front-end-87ff7b849-pphwr","kill","-","2026-06-16 22:13:46","2026-06-16 22:15:17","2026-06-16 21:56:17","2026-06-16 22:04:17","2026-06-16 22:14:42","2026-06-16 22:12:42","2026-06-16 22:13:42","executed","标准轮 3：15 次 kill，模拟更密集的实例级故障"
"run_003","event_02","single_fault_serial","orders","orders-6cfcf6794c-kz8lc","kill","-","2026-06-16 22:16:50","2026-06-16 22:18:21","2026-06-16 21:56:17","2026-06-16 22:04:17","2026-06-16 22:17:15","2026-06-16 22:15:15","2026-06-16 22:16:15","executed","标准轮 3：15 次 kill，模拟更密集的实例级故障"
