points,fault_window_points,anomaly_points,tp,fp,fn,precision,recall,f1,anomaly_ratio,run_id
231,21,52,7,45,14,0.1346,0.3333,0.1918,0.2251,run_007
259,19,95,10,85,9,0.1053,0.5263,0.1754,0.3668,run_008
246,15,72,6,66,9,0.0833,0.4,0.1379,0.2927,run_009
285,16,79,3,76,13,0.038,0.1875,0.0632,0.2772,run_010
