points,fault_window_points,anomaly_points,tp,fp,fn,precision,recall,f1,anomaly_ratio,run_id
231,21,38,7,31,14,0.1842,0.3333,0.2373,0.1645,run_007
259,19,76,7,69,12,0.0921,0.3684,0.1474,0.2934,run_008
246,15,45,3,42,12,0.0667,0.2,0.1,0.1829,run_009
285,16,60,2,58,14,0.0333,0.125,0.0526,0.2105,run_010
